Customer_id,Recency,Frequency,Monetary,Recency_bin,Frequency_bin,Monetary_bin
CS1112,3182,15,1012,150+,5+,501+
CS1113,3156,20,1490,150+,5+,501+
CS1114,3153,19,1432,150+,5+,501+
CS1115,3132,22,1659,150+,5+,501+
CS1116,3324,13,857,150+,5+,501+
CS1117,3378,17,1185,150+,5+,501+
CS1118,3123,15,1011,150+,5+,501+
CS1119,3132,15,1158,150+,5+,501+
CS1120,3131,24,1677,150+,5+,501+
CS1121,3162,26,1524,150+,5+,501+
CS1122,3163,16,1156,150+,5+,501+
CS1123,3230,19,1331,150+,5+,501+
CS1124,3194,18,1127,150+,5+,501+
CS1125,3146,12,885,150+,5+,501+
CS1126,3300,19,1165,150+,5+,501+
CS1127,3160,24,1676,150+,5+,501+
CS1128,3196,26,1921,150+,5+,501+
CS1129,3227,12,853,150+,5+,501+
CS1130,3124,19,1185,150+,5+,501+
CS1131,3141,14,998,150+,5+,501+
CS1132,3148,16,1074,150+,5+,501+
CS1133,3144,19,1413,150+,5+,501+
CS1134,3230,16,1166,150+,5+,501+
CS1135,3456,20,1267,150+,5+,501+
CS1136,3148,20,1339,150+,5+,501+
CS1137,3176,20,1380,150+,5+,501+
CS1138,3134,24,1863,150+,5+,501+
CS1139,3232,18,1245,150+,5+,501+
CS1140,3149,20,1434,150+,5+,501+
CS1141,3174,25,1778,150+,5+,501+
CS1142,3282,22,1847,150+,5+,501+
CS1143,3333,16,1255,150+,5+,501+
CS1144,3277,18,1222,150+,5+,501+
CS1145,3263,27,1967,150+,5+,501+
CS1146,3128,16,1117,150+,5+,501+
CS1147,3125,15,1004,150+,5+,501+
CS1148,3204,25,1733,150+,5+,501+
CS1149,3136,25,1768,150+,5+,501+
CS1150,3210,14,1075,150+,5+,501+
CS1151,3147,16,1040,150+,5+,501+
CS1152,3127,20,1457,150+,5+,501+
CS1153,3155,18,1274,150+,5+,501+
CS1154,3121,23,1436,150+,5+,501+
CS1155,3247,19,1317,150+,5+,501+
CS1156,3130,20,1445,150+,5+,501+
CS1157,3140,21,1427,150+,5+,501+
CS1158,3223,18,1159,150+,5+,501+
CS1159,3157,22,1439,150+,5+,501+
CS1160,3165,20,1380,150+,5+,501+
CS1161,3125,22,1389,150+,5+,501+
CS1162,3140,24,1815,150+,5+,501+
CS1163,3159,18,1290,150+,5+,501+
CS1164,3138,26,2037,150+,5+,501+
CS1165,3215,20,1335,150+,5+,501+
CS1166,3219,19,1507,150+,5+,501+
CS1167,3240,16,1132,150+,5+,501+
CS1168,3232,14,916,150+,5+,501+
CS1169,3207,18,1175,150+,5+,501+
CS1170,3124,18,1272,150+,5+,501+
CS1171,3122,22,1555,150+,5+,501+
CS1172,3379,18,1306,150+,5+,501+
CS1173,3170,21,1429,150+,5+,501+
CS1174,3144,23,1554,150+,5+,501+
CS1175,3173,17,1106,150+,5+,501+
CS1176,3150,18,1401,150+,5+,501+
CS1177,3159,17,1310,150+,5+,501+
CS1178,3152,22,1535,150+,5+,501+
CS1179,3167,29,2091,150+,5+,501+
CS1180,3175,23,1637,150+,5+,501+
CS1181,3178,27,1893,150+,5+,501+
CS1182,3223,24,1749,150+,5+,501+
CS1183,3133,26,1967,150+,5+,501+
CS1184,3121,28,1999,150+,5+,501+
CS1185,3132,27,1801,150+,5+,501+
CS1186,3173,19,1439,150+,5+,501+
CS1187,3143,22,1559,150+,5+,501+
CS1188,3125,16,1010,150+,5+,501+
CS1189,3184,23,1564,150+,5+,501+
CS1190,3161,18,1324,150+,5+,501+
CS1191,3187,21,1522,150+,5+,501+
CS1192,3159,18,1313,150+,5+,501+
CS1193,3404,15,953,150+,5+,501+
CS1194,3130,22,1505,150+,5+,501+
CS1195,3141,20,1378,150+,5+,501+
CS1196,3122,23,1559,150+,5+,501+
CS1197,3282,17,1180,150+,5+,501+
